City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Mahebourg,MU,-20.4081,57.7,80.26,87,100,38.74,moderate rain
127,Ostrovnoy,RU,68.0531,39.5131,20.57,86,100,15.61,overcast clouds
128,Ponta Do Sol,PT,32.6667,-17.1,70.0,57,100,10.27,overcast clouds
129,Guerrero Negro,MX,27.9769,-114.0611,58.48,69,87,9.46,overcast clouds
130,Kabo,CF,7.6994,18.629,97.52,9,15,5.26,few clouds
131,Mayumba,GA,-3.432,10.6554,82.17,75,56,7.9,light rain
132,Colquechaca,BO,-18.6667,-66.0167,38.1,70,63,3.6,broken clouds
133,College,US,64.8569,-147.8028,-29.25,62,0,0.0,clear sky
134,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,101.14,19,1,12.95,clear sky
135,Betsiamites,CA,48.9413,-68.646,25.2,92,100,9.82,light snow
136,Tutoia,BR,-2.7619,-42.2744,87.78,63,42,13.22,scattered clouds
137,Galich,RU,58.3797,42.3475,21.92,94,100,7.4,light snow
138,Mamlyutka,KZ,54.9375,68.5394,22.51,86,100,11.95,overcast clouds
139,Marawi,PH,7.9986,124.2928,68.65,95,100,1.45,light rain
140,Cherskiy,RU,68.75,161.3,-5.64,63,70,3.71,broken clouds
141,Bor,RU,56.3567,44.0669,24.73,89,100,9.37,light snow
142,Bagdarin,RU,54.4333,113.6,-17.46,96,12,4.45,few clouds
143,Beringovskiy,RU,63.05,179.3167,-3.86,88,57,17.85,broken clouds
144,Souillac,MU,-20.5167,57.5167,80.37,88,100,36.33,moderate rain
145,Nsoko,SZ,-27.0333,31.95,94.6,40,2,9.33,clear sky
146,Murdochville,CA,48.9583,-65.5006,11.88,84,100,12.66,overcast clouds
147,Teguldet,RU,57.3064,88.1667,15.42,98,94,3.83,overcast clouds
148,Bayan,CN,46.0833,127.4,0.34,98,96,5.73,overcast clouds
149,Wagga Wagga,AU,-35.1167,147.3667,60.85,56,2,3.42,clear sky
150,Honningsvag,NO,70.9821,25.9704,17.13,73,76,4.29,broken clouds
151,San Andres,CO,12.5847,-81.7006,80.46,65,40,13.22,scattered clouds
152,Evensk,RU,61.95,159.2333,24.82,46,100,27.02,overcast clouds
153,Kodiak,US,57.79,-152.4072,36.91,87,100,3.44,overcast clouds
154,Faanui,PF,-16.4833,-151.75,80.08,78,21,16.93,light rain
155,Paisley,GB,55.8317,-4.4325,52.11,89,75,7.0,broken clouds
156,Dryden,CA,49.7833,-92.7503,-19.91,76,0,9.22,haze
157,Ribeira Grande,PT,38.5167,-28.7,64.8,63,20,8.05,few clouds
158,Lagoa,PT,39.05,-27.9833,58.55,70,1,11.48,clear sky
159,Avera,US,33.194,-82.5271,48.43,77,100,10.96,overcast clouds
160,Ketchikan,US,55.3422,-131.6461,37.38,93,100,12.66,snow
161,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,41,20,9.22,few clouds
162,Hammerfest,NO,70.6634,23.6821,24.53,67,0,1.14,clear sky
163,Berlevag,NO,70.8578,29.0864,19.2,85,100,6.91,overcast clouds
164,Jardim,BR,-21.4803,-56.1381,84.15,59,99,5.17,overcast clouds
165,Conceicao Do Araguaia,BR,-8.2578,-49.2647,84.69,70,8,2.84,clear sky
166,Sumbe,AO,-11.2061,13.8437,80.69,65,1,10.36,clear sky
167,Qaanaaq,GL,77.484,-69.3632,-23.71,65,34,8.59,scattered clouds
168,San Luis,AR,-33.295,-66.3356,83.03,34,98,8.59,overcast clouds
169,Aswan,EG,24.0934,32.907,73.6,21,0,3.83,clear sky
170,Guacimo,CR,10.2104,-83.6807,82.09,48,3,2.21,clear sky
171,Bredasdorp,ZA,-34.5322,20.0403,79.29,42,46,20.15,scattered clouds
172,Tripoli,LY,32.8752,13.1875,56.37,67,68,25.39,broken clouds
