City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
414,Antofagasta,CL,74.21,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
416,Ranau,MY,68.65,broken clouds,5.9538,116.6641,The Second Room
418,Touros,BR,88.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
420,Manta,EC,74.98,broken clouds,-0.95,-80.7333,Balandra Hotel
421,Kalianget,ID,80.33,moderate rain,-7.05,113.9333,Pesanggrahan Garam
426,Barretos,BR,69.22,overcast clouds,-20.5572,-48.5678,Dan Inn Barretos
429,Christchurch,NZ,78.01,overcast clouds,-43.5333,172.6333,The George
430,Cravo Norte,CO,87.62,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
431,Kikwit,CD,80.64,moderate rain,-5.041,18.8162,HOTEL PLACE YALABA
432,Nchelenge,ZM,76.05,light rain,-9.3451,28.734,KD Travellers Home
434,Grand Gaube,MU,80.38,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
437,Matara,LK,77.43,few clouds,5.9485,80.5353,Amaloh Boutique Resort
438,Pisco,PE,72.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
439,Flinders,AU,66.2,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
441,Chulumani,BO,73.22,overcast clouds,-16.4096,-67.5263,Hotel Cabanas Paradise
450,Ambovombe,MG,81.3,clear sky,-25.1667,46.0833,RELAHARA
452,Kruisfontein,ZA,74.55,moderate rain,-34.0033,24.7314,Oyster Bay House Rental
453,Majene,ID,78.51,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
456,Maragogi,BR,85.59,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
457,Moranbah,AU,83.03,overcast clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
458,Celestun,MX,70.63,clear sky,20.8667,-90.4,Posada Lilia
459,Pangai,TO,80.92,few clouds,-19.8,-174.35,Ha'apai Beach Resort
462,Nelson Bay,AU,70.09,moderate rain,-32.7167,152.15,Mantra Nelson Bay
467,Montevideo,UY,80.62,clear sky,-34.8335,-56.1674,KOLPING Hotel
470,Yook,PH,75.67,overcast clouds,13.2261,121.964,Pielago's Residences
471,San Vicente,AR,88.45,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
472,Ritchie,ZA,83.37,overcast clouds,-29.038,24.6028,Riverside Country Club Modderrivier
473,Balingasay,PH,78.8,clear sky,16.3573,119.8564,Rock Garden Resort
474,Jacareacanga,BR,76.68,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
475,Bondoukou,CI,94.19,scattered clouds,8.0333,-2.8,Prestige Hotel
479,Bodden Town,KY,81.0,few clouds,19.2833,-81.25,Will T Place
480,Santa Isabel Do Rio Negro,BR,84.67,broken clouds,-0.4139,-65.0192,Hotel GSA
481,Guayaramerin,BO,72.81,overcast clouds,-10.8368,-65.3614,Hostal Funf
482,Chadiza,ZM,76.37,light rain,-14.0678,32.4392,Sankhani Guest House
486,Prainha,BR,78.03,overcast clouds,-1.8,-53.48,Casa Rocha
490,Alice Springs,AU,65.75,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
493,San Rafael,AR,70.88,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
494,The Valley,AI,82.81,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
505,Puerto Leguizamo,CO,85.57,few clouds,-0.1934,-74.7819,la casona de juancho
507,Soyo,AO,82.33,scattered clouds,-6.1349,12.3689,Hotel Mpampa
510,Faya,SA,66.72,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
512,Porto Murtinho,BR,94.3,few clouds,-21.6989,-57.8825,Hotel Pantanal
513,Manaure,CO,82.62,scattered clouds,11.7751,-72.4445,Hotel Palaaima
515,Barabai,ID,76.64,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
517,Sao Lourenco Do Sul,BR,84.25,clear sky,-31.3653,-51.9783,Hotel Pousada Verde Água
519,Minab,IR,76.5,clear sky,27.1467,57.0801,Bam campground
520,Tautira,PF,77.02,few clouds,-17.7333,-149.15,Pension Oaoa
521,Pemangkat,ID,77.14,broken clouds,1.1667,108.9667,Ramah Kost KITA
523,Arlit,NE,81.84,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
526,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
527,Bertoua,CM,95.65,few clouds,4.5833,13.6833,Hotel De Paris
