City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,Nagato,34.3833,131.2,287.1,62,99,3.36,JP,2021-10-23 21:34:06
190,Curup,-3.4667,102.5333,293.07,96,94,1.02,ID,2021-10-23 21:34:06
191,Bambous Virieux,-20.3428,57.7575,297.29,83,75,5.66,MU,2021-10-23 21:34:06
192,Haines Junction,60.7522,-137.5108,275.12,87,76,0.51,CA,2021-10-23 21:34:07
193,Southbridge,42.0751,-72.0334,287.35,59,34,0.89,US,2021-10-23 21:32:34
194,Vostok,46.4856,135.8833,271.46,87,6,2.59,RU,2021-10-23 21:34:08
195,Codrington,-38.2667,141.9667,284.64,64,50,6.15,AU,2021-10-23 21:34:08
196,Henties Bay,-22.116,14.2845,288.63,91,0,3.87,NA,2021-10-23 21:34:08
197,Lufilufi,-13.8745,-171.5986,304.03,68,99,7.58,WS,2021-10-23 21:34:09
198,Lorengau,-2.0226,147.2712,301.38,79,55,4.54,PG,2021-10-23 21:34:09
199,Antalaha,-14.9003,50.2788,296.21,94,71,1.19,MG,2021-10-23 21:34:10
200,Port Keats,-14.25,129.55,301.76,73,16,2.1,AU,2021-10-23 21:34:10
201,Bethel,41.3712,-73.414,287.49,67,75,3.09,US,2021-10-23 21:30:32
202,Grand-Santi,4.25,-54.3833,296.99,96,100,1.36,GF,2021-10-23 21:34:11
203,Namibe,-15.1961,12.1522,291.29,74,73,4.08,AO,2021-10-23 21:34:11
204,Cururupu,-1.8283,-44.8683,298.56,84,100,1.58,BR,2021-10-23 21:34:12
205,Kondinskoye,59.6481,67.41,277.55,76,53,7.01,RU,2021-10-23 21:34:12
206,Suntar,62.1444,117.6319,275.45,79,100,4.52,RU,2021-10-23 21:34:12
207,Kifri,34.6959,44.9661,294.81,20,35,1.62,IQ,2021-10-23 21:34:13
208,Pio Xii,-3.8325,-45.1525,299.03,82,87,1.39,BR,2021-10-23 21:34:13
209,Lata,40.1629,-8.3327,285.96,68,33,0.75,PT,2021-10-23 21:34:14
210,Ust-Kulom,61.6864,53.6902,274.02,92,100,2.03,RU,2021-10-23 21:34:14
211,Vavuniya,8.7514,80.4971,296.22,98,47,1.76,LK,2021-10-23 21:34:15
212,Inuvik,68.3499,-133.7218,272.57,83,75,1.54,CA,2021-10-23 21:34:15
213,Sarankhola,22.3082,89.7897,294.95,79,27,1.7,BD,2021-10-23 21:34:15
214,Rozkishne,48.5074,39.3004,284.66,58,100,3.95,UA,2021-10-23 21:34:16
215,New Norfolk,-42.7826,147.0587,282.4,79,100,2.68,AU,2021-10-23 21:34:16
216,Mardin,37.3131,40.7436,285.21,19,0,2.2,TR,2021-10-23 21:34:17
217,Kodiak,57.79,-152.4072,279.88,76,90,6.17,US,2021-10-23 21:34:17
218,Upernavik,72.7868,-56.1549,265.81,89,100,4.86,GL,2021-10-23 21:32:49
219,Brae,60.3964,-1.353,285.1,88,100,11.02,GB,2021-10-23 21:34:18
220,Mar Del Plata,-38.0023,-57.5575,288.16,62,20,9.83,AR,2021-10-23 21:34:18
221,Castro,-24.7911,-50.0119,291.15,69,93,1.83,BR,2021-10-23 21:34:19
222,Akdepe,42.0551,59.3788,281.2,37,0,3.97,TM,2021-10-23 21:34:19
223,Kurilsk,45.2333,147.8833,281.25,66,64,6.83,RU,2021-10-23 21:34:20
224,Fort Nelson,58.8053,-122.7002,279.92,70,40,2.57,CA,2021-10-23 21:34:20
225,Cockburn Town,21.4612,-71.1419,302.13,65,75,4.12,TC,2021-10-23 21:34:20
226,Alim,9.5649,122.4876,299.37,84,99,2.8,PH,2021-10-23 21:34:21
227,Pampas,-12.4,-74.9,289.52,55,50,3.07,PE,2021-10-23 21:34:21
228,Poum,-20.2333,164.0167,296.53,78,3,3.86,NC,2021-10-23 21:34:21
229,Kiama,-34.6833,150.8667,291.69,88,86,5.07,AU,2021-10-23 21:34:22
